date,pid,price,regular,promo,label,until
2026-09-16,287895,2.99,2.99,0,,
2026-09-16,287899,2.99,2.99,0,,
2026-09-16,287906,1.45,1.45,0,,
2026-09-16,287911,5.99,5.99,0,,
2026-09-16,287915,4.39,4.39,0,,
2026-09-16,287918,2.19,2.19,0,,
2026-09-16,287926,5.99,5.99,0,,
2026-09-16,287943,44.90,44.90,0,,
2026-09-16,287945,29.90,29.90,0,,
2026-09-16,287967,12.49,12.49,0,,
2026-09-16,287979,0.29,0.29,0,,
2026-09-16,287995,0.25,0.25,0,,
2026-09-16,287996,13.99,13.99,0,,
2026-09-16,287999,28.90,28.90,0,,
2026-09-16,288001,3.69,3.69,0,,
2026-09-16,288006,3.55,3.55,0,,
2026-09-16,288008,3.79,3.79,0,,
2026-09-16,288054,0.67,0.67,0,,
2026-09-16,288071,19.89,19.89,0,,
2026-09-16,288076,10.99,10.99,0,,
2026-09-16,288082,49.90,49.90,0,,
2026-09-16,288085,1.99,1.99,0,,
2026-09-16,288087,3.69,3.69,0,,
2026-09-16,288096,4.95,4.95,0,,
2026-09-16,288107,2.75,2.75,0,,
2026-09-16,288122,7.25,7.25,0,,
2026-09-16,288133,2.79,2.79,0,,
2026-09-16,288149,7.99,7.99,0,,
2026-09-16,288164,15.49,15.49,0,,
2026-09-16,288166,0.65,0.65,0,,
2026-09-16,288168,3.39,3.39,0,,
2026-09-16,288174,12.95,12.95,0,,
2026-09-16,288177,4.49,4.49,0,,
2026-09-16,288214,4.99,4.99,0,,
2026-09-16,288216,0.85,0.85,0,,
2026-09-16,288218,3.29,3.29,0,,
2026-09-16,288229,1.79,1.79,0,,
2026-09-16,288231,1.15,1.15,0,,
2026-09-16,288232,1.25,1.25,0,,
2026-09-16,288238,1.99,1.99,0,,
2026-09-16,288244,6.99,6.99,0,,
2026-09-16,288250,0.79,0.79,0,,
2026-09-16,288278,5.99,5.99,0,,
2026-09-16,288294,10.99,10.99,0,,
2026-09-16,288313,3.69,3.69,0,,
2026-09-16,288314,2.89,2.89,0,,
2026-09-16,288327,13.89,13.89,0,,
2026-09-16,288345,13.49,13.49,0,,
2026-09-16,288366,0.99,0.99,0,,
2026-09-16,288374,5.85,5.85,0,,
2026-09-16,288375,4.79,4.79,0,,
2026-09-16,288387,7.99,7.99,0,,
2026-09-16,288388,10.95,10.95,0,,
2026-09-16,288396,3.79,3.79,0,,
2026-09-16,288401,5.99,5.99,0,,
2026-09-16,288405,7.99,7.99,0,,
2026-09-16,288415,3.85,3.85,0,,
2026-09-16,288439,1.15,1.15,0,,
2026-09-16,288440,0.79,0.79,0,,
2026-09-16,288441,1.05,1.05,0,,
2026-09-16,288443,0.99,0.99,0,,
2026-09-16,288444,1.29,1.29,0,,
2026-09-16,288451,5.79,5.79,0,,
2026-09-16,288457,12.89,12.89,0,,
2026-09-16,288462,6.99,6.99,0,,
2026-09-16,288463,4.99,4.99,0,,
2026-09-16,288464,11.69,11.69,0,,
2026-09-16,288465,5.99,5.99,0,,
2026-09-16,288469,1.69,1.69,0,,
2026-09-16,288479,10.99,10.99,0,,
2026-09-16,288482,8.99,8.99,0,,
2026-09-16,288485,3.99,3.99,0,,
2026-09-16,288492,3.59,3.59,0,,
2026-09-16,288502,7.49,7.49,0,,
2026-09-16,288503,5.90,5.90,0,,
2026-09-16,288504,10.45,10.45,0,,
2026-09-16,288506,2.89,2.89,0,,
2026-09-16,288509,0.69,0.69,0,,
2026-09-16,288512,14.89,14.89,0,,
2026-09-16,288523,5.49,5.49,0,,
